Order ID,Date,Product SKU,Quantity,Gross Sales,Discounts,Customer City
#1084,24-04-2026,SKU-E505,1,62.82,11.13,Lucknow
#1085,25-04-2026,SKU-B202,4,267.64,13.06,Mumbai
#1086,25-04-2026,SKU-A101,4,151.92,24.43,Jaipur
#1087,25-04-2026,SKU-D404,1,73.53,13.49,Delhi
#1088,26-04-2026,SKU-D404,2,198.3,26.48,Jaipur
#1089,26-04-2026,SKU-E505,3,344.25,61.37,Lucknow
#1090,26-04-2026,SKU-E505,4,408.84,44.8,Bengaluru
#1091,27-04-2026,SKU-D404,4,168.88,8.35,Chennai
#1092,27-04-2026,SKU-E505,4,323.24,17.75,Delhi
#1093,28-04-2026,SKU-C303,2,87.06,5.57,Jaipur
#1094,28-04-2026,SKU-A101,2,61.68,4.73,Bengaluru
#1095,28-04-2026,SKU-B202,1,58.56,3.88,Ahmedabad
#1096,28-04-2026,SKU-D404,1,36.72,3.09,Lucknow
#1097,28-04-2026,SKU-A101,5,274.7,0.32,Pune
#1098,29-04-2026,SKU-C303,4,418.44,79.79,Kolkata
#1099,29-04-2026,SKU-E505,5,494.95,88.87,Ahmedabad
#1100,30-04-2026,SKU-B202,3,182.28,1.06,Pune
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
